Column,Project Field,Data Type,Description,Example / Values
customerID,client_id,Categorical / ID,Unique identifier for each customer,7590-VHVEG
gender,client_gender,Categorical,Gender of the customer,"Male, Female"
SeniorCitizen,senior_flag,Numerical / Binary,Indicates whether the customer is a senior citizen,"0, 1"
Partner,has_partner,Categorical,Whether the customer has a partner,"Yes, No"
Dependents,has_dependents,Categorical,Whether the customer has dependents,"Yes, No"
tenure,tenure_months,Numerical,Number of months the customer has been with the company,"1, 24, 72"
PhoneService,phone_line,Categorical,Whether the customer has phone service,"Yes, No"
MultipleLines,multi_line,Categorical,Whether the customer has multiple phone lines,"Yes, No, No phone service"
InternetService,internet_plan,Categorical,Type of internet service subscribed to,"DSL, Fiber optic, No"
OnlineSecurity,security_addon,Categorical,Whether the customer has online security service,"Yes, No, No internet service"
OnlineBackup,backup_addon,Categorical,Whether the customer has online backup service,"Yes, No, No internet service"
DeviceProtection,protection_addon,Categorical,Whether the customer has device protection service,"Yes, No, No internet service"
TechSupport,support_addon,Categorical,Whether the customer has technical support service,"Yes, No, No internet service"
StreamingTV,tv_streaming,Categorical,Whether the customer has streaming TV service,"Yes, No, No internet service"
StreamingMovies,movie_streaming,Categorical,Whether the customer has streaming movie service,"Yes, No, No internet service"
Contract,contract_term,Categorical,Type/length of customer's contract,"Month-to-month, One year, Two year"
PaperlessBilling,ebilling,Categorical,Whether the customer uses paperless billing,"Yes, No"
PaymentMethod,payment_mode,Categorical,Method used by the customer to make payments,"Electronic check, Mailed check, Bank transfer (automatic), Credit card (automatic)"
MonthlyCharges,monthly_fee,Numerical,Amount charged to the customer each month,"29.85, 70.35"
TotalCharges,total_billed,Numerical,Total amount charged to the customer over their tenure,"29.85, 1889.50"
Churn,attrition,Target / Categorical,Indicates whether the customer left the company,"Yes, No"
AvgMonthlySpend,mean_monthly_fee,Engineered / Numerical,"Average amount billed per month, calculated as total_billed / tenure_months","29.85, 70.35"
NumServices,active_service_count,Engineered / Numerical,"Number of subscribed services with a value of Yes across the phone, security, backup, protection, support and streaming fields","0, 4, 8"
